timp,eroare
0.103682288,inf
0.235456808,inf
0.353994563,inf
0.487495674,inf
0.617932379,inf
0.738325267,inf
0.869119676,inf
0.990178731,inf
1.114495373,inf
1.238211784,inf
1.354585139,inf
1.486014685,inf
1.67222046,inf
1.791495262,inf
1.922267593,inf
2.035177825,inf
2.151650127,inf
2.282708105,inf
2.417960439,inf
2.589617236,inf
2.717391762,inf
2.840369755,inf
3.07525653,inf
3.21730557,inf
3.30201305,inf
3.43251728,inf
3.538216848,inf
3.667203992,inf
3.789221474,inf
3.975405974,inf
4.095677819,inf
4.230993042,inf
4.495446395,inf
4.773472861,inf
4.86959095,inf
4.969367755,inf
5.086280414,inf
5.212626508,inf
5.368579963,inf
5.565604867,inf
5.708272057,inf
5.885292005,inf
6.039467258,inf
6.198398814,inf
6.333149524,inf
6.438325043,inf
6.578079263,inf
6.67790218,inf
6.801452674,inf
7.015154778,inf
7.118991734,inf
7.34865566,inf
7.505073843,inf
7.63770233,inf
7.774646924,inf
7.896184876,inf
8.054121902,inf
8.194747148,inf
8.345291046,inf
8.467610505,inf
8.593589235,inf
8.733335653,inf
8.84717283,inf
8.978805752,inf
9.096736314,inf
9.294019941,inf
9.418145671,inf
9.533216822,inf
9.648661207,inf
9.763633493,inf
9.876897153,inf
10.009764171,inf
10.153231278,inf
10.288267164,inf
10.398861268,inf
10.576934679,inf
10.732595704,inf
10.866425069,inf
11.019155955,inf
11.12780771,inf
11.248794577,inf
11.390619881,inf
11.509659145,inf
11.657756283,inf
11.778592761,inf
11.927105328,inf
12.032411102,inf
12.162677975,inf
12.29129834,inf
12.508153532,inf
12.838504112,inf
12.857960234,inf
13.024693986,inf
13.17785048,inf
13.366818281,inf
13.495453888,inf
13.631691882,inf
13.774539532,inf
13.911979139,inf
14.028535652,inf
14.176758466,inf
14.30623579,inf
14.441286982,inf
14.557769586,inf
14.743661627,inf
14.884446949,inf
15.024928952,inf
15.146634851,inf
15.289750766,inf
15.437815104,inf
15.59545738,inf
15.720266403,inf
15.837066793,inf
15.957890798,inf
16.074166638,inf
16.198336711,inf
16.329375366,inf
16.488034745,inf
16.638590222,inf
16.748338835,inf
16.869945776,inf
16.969904807,inf
17.162694821,inf
17.273846811,inf
17.403363166,inf
17.547289501,inf
17.656414889,inf
17.7832226,inf
17.919222722,inf
18.07641045,inf
18.191740472,inf
18.303366413,inf
18.435311424,inf
18.578508955,inf
18.740158008,inf
18.853189591,inf
18.958745029,inf
19.062906289,inf
19.19572813,inf
19.329114021,inf
19.474716166,inf
19.640222188,inf
19.754754582,inf
19.891272083,inf
20.033041487,inf
20.126796059,inf
20.250739026,inf
20.352272621,inf
20.487695226,inf
20.622002738,inf
20.766666732,inf
20.884522645,inf
21.003337087,inf
21.117375315,inf
21.237921323,inf
21.372443051,inf
21.501193226,inf
21.670089777,inf
21.784902002,inf
21.917319589,inf
22.019282276,inf
22.134737428,inf
22.261479531,inf
22.385324863,inf
22.507678785,inf
22.640317606,inf
22.755353235,inf
22.871232937,inf
23.067095467,inf
23.2755831,inf
23.439110782,inf
23.541372007,inf
23.66711726,inf
23.796383419,inf
23.934974982,inf
24.072292282,inf
24.271600037,inf
24.46934811,inf
24.636783897,inf
24.74999685,inf
24.91322592,inf
25.007938319,inf
25.164600353,inf
25.313435044,inf
25.448998945,inf
25.56358361,inf
25.715605955,inf
25.815266862,inf
25.931517143,inf
26.083833317,inf
26.215724824,inf
26.359460256,inf
26.478136461,inf
26.601514618,inf
26.718193555,inf
26.828169629,inf
26.9598339,inf
27.083556113,inf
27.200825678,inf
27.338893796,inf
27.478946597,inf
27.57816261,inf
27.700864761,inf
27.830254725,inf
27.951263883,inf
28.11860935,inf
28.229604605,inf
28.450421354,inf
28.64605502,inf
28.796593222,inf
28.962618255,inf
29.102125636,inf
29.270899842,inf
29.427720103,inf
29.574544256,inf
29.749178465,inf
29.897199011,inf
30.01924076,inf
30.135013377,inf
30.277944876,inf
30.398846916,inf
30.528517403,inf
30.68130894,inf
30.93923322,inf
31.170267714,inf
31.322255653,inf
31.493045183,inf
31.604901656,inf
31.783317073,inf
31.855246892,inf
32.056885661,inf
32.18356072,inf
32.290894823,inf
32.421472278,inf
32.612497399,inf
32.811221423,inf
33.112763339,inf
33.144500108,inf
33.307277774,inf
33.440376982,inf
33.626885252,inf
33.800170576,inf
33.917084749,inf
34.311637801,inf
34.456522549,inf
34.572817793,inf
34.731349844,inf
34.83956164,inf
35.054174004,inf
35.205636483,inf
35.338425082,inf
35.457726697,inf
35.576810721,inf
35.705336662,inf
35.824641524,inf
36.048500918,inf
36.234303413,inf
36.391242714,inf
36.496483708,inf
36.781517602,inf
37.025585164,inf
37.09454106,inf
37.298722213,inf
37.430714293,inf
37.570541689,inf
37.70257909,inf
37.897258464,inf
38.088233251,inf
38.240881987,inf
38.499661964,inf
38.562668812,inf
38.758276437,inf
38.894521635,inf
39.113960966,inf
39.328453015,inf
39.520832292,inf
39.681310257,inf
39.756292076,inf
39.943338393,inf
40.056020045,inf
40.260688539,inf
40.404933832,inf
40.521667215,inf
40.697000321,inf
40.854452908,inf
41.081223405,inf
41.286639659,inf
41.423533672,inf
41.628752523,inf
41.793789233,inf
41.930241161,inf
42.126221151,inf
42.214124798,inf
42.448692076,inf
42.565838185,inf
42.731047889,inf
42.864373285,inf
43.004436559,inf
43.113411079,inf
43.326915993,inf
43.43679771,inf
43.653413467,inf
43.826928234,inf
43.991012207,inf
44.274564838,inf
44.418033899,inf
44.762196719,inf
45.053393559,inf
45.12159964,inf
45.22801251,inf
45.429535956,inf
45.717529428,inf
45.975718032,inf
46.208248166,inf
46.350447283,inf
46.463195825,inf
46.650407508,inf
46.847153867,inf
47.088237195,inf
47.442217965,inf
47.596690496,inf
47.761310257,inf
47.88116423,inf
47.975843083,inf
48.310659195,inf
150.392651534,0.01856995820999141
150.5391851,-0.001410293579101607
150.857278406,-0.023142802715301558
150.939474954,-0.043678569793701216
151.118862481,-0.057424831390380904
151.393175216,-0.06267236471176152
151.607127102,-0.0634242177009583
151.728800631,-0.0630504965782166
151.859534847,-0.062187123298645064
152.012188434,-0.060849118232727095
152.19865831,-0.05908845663070683
152.333514065,-0.056801903247833296
152.471291875,-0.054122853279113814
152.590663584,-0.05101721286773686
152.705583198,-0.04616301059722905
152.843532852,-0.03918205499649052
152.958890954,-0.02984772920608525
153.153941876,-0.01838396787643437
153.332857746,-0.034661042690277144
153.485631675,-0.07143692970275883
153.681978214,-0.10334448814392094
153.807671483,-0.12981723546981816
154.001082302,-0.15361182689666752
154.154273386,-0.1743039965629578
154.272606567,-0.19258009195327763
154.384036199,-0.2082964658737183
154.540660032,-0.2218283295631409
154.688059745,-0.23332219123840336
154.818780206,-0.24289594888687138
154.941581179,-0.24852846860885625
155.118547843,-0.2508250951766968
155.28705053,-0.2526798725128174
155.470159988,-0.2536780118942261
155.658742505,-0.2633397459983826
155.873402196,-0.2662694334983826
156.024862851,-0.2684808254241944
156.143274754,-0.26952652931213383
156.315024962,-0.2705585837364197
156.475991765,-0.2708177447319031
156.589371799,-0.27036713361740117
156.704358004,-0.2694399237632752
156.822012801,-0.26804732084274296
156.9543916,-0.26617299318313603
157.134302064,-0.2638757109642029
157.271572028,-0.26112960577011113
157.455228532,-0.25792734622955327
157.564266775,-0.25319330692291264
157.703701109,-0.24678461551666264
157.897038528,-0.2386110901832581
158.038242648,-0.22859750986099248
158.190997156,-0.21664534807205205
158.338033714,-0.20262973308563237
158.501838945,-0.18639563322067265
158.650316467,-0.1673539757728577
158.842313542,-0.1439550399780274
158.993272691,-0.11810188293457036
159.164692382,-0.09007929563522343
159.284362608,-0.05762957334518437
159.434581704,-0.020952332019805953
159.530631881,0.020366919040679887
159.7030991,0.06482554674148555
159.878784732,0.10515446662902828
159.997084756,0.10494257211685176
160.154661833,0.09288485050201412
160.268279949,0.08114404678344722
160.567420781,0.06890733242034908
160.701130046,0.057121109962463334
160.891335927,0.04508299827575679
161.046871566,0.03274072408676143
161.160413979,0.010504734516143754
161.297645731,-0.011502373218536421
161.423088729,-0.02638940811157231
161.551635095,-0.030963706970214888
161.720059474,-0.036189365386962935
161.873289199,-0.027985918521881148
161.99285085,-0.015700268745422408
162.163348375,0.056580317020416215
162.343170622,0.1413639903068542
162.463507782,0.23820180892944331
162.582567908,0.26900167465209956
162.727251425,0.2625592470169067
162.830457156,0.24275441169738765
162.99070136,0.2225533246994018
163.094742286,0.20215411186218257
163.219981707,0.18234891891479488
163.372573478,0.1615533351898193
163.517108468,0.14135105609893794
163.700111464,0.11936588287353511
163.848664688,0.09955943822860713
163.975146772,0.077970278263092
164.100569728,0.058361721038818315
164.242768223,0.038555037975311235
164.362089253,0.01855016946792598
164.477068609,-0.0010585665702820268
164.625505533,-0.018737304210662886
164.759478166,-0.026481020450592085
164.911266923,-0.02907185554504399
165.08257951,-0.02969979047775273
165.325346505,-0.029811608791351363
165.584604717,-0.029449510574340865
165.745936011,-0.028607177734375044
165.894265804,-0.027328300476074263
166.061866451,-0.025585281848907515
166.213228393,-0.023391413688659712
166.337473174,-0.02077196836471562
166.493811139,-0.017742800712585494
166.624574938,-0.039838421344757124
166.737411413,-0.0891393899917603
166.858238844,-0.13257883787155156
167.002978104,-0.1706324696540833
167.10594196,-0.20378141403198247
167.23584399,-0.23333053588867192
167.343127687,-0.2601727724075318
167.478808916,-0.28273694515228276
167.597555209,-0.30311201810836796
167.763745182,-0.3212565958499909
167.909321706,-0.3371971428394318
168.070711719,-0.35104354023933415
168.190421294,-0.3633858144283295
168.405662313,-0.37365193963050847
168.529017053,-0.3823289752006531
168.659340716,-0.3894991755485535
168.796475204,-0.3952742993831635
168.961322833,-0.3995554327964783
169.081186665,-0.40274296998977666
169.203795835,-0.4053731441497803
169.324667351,-0.4075989902019501
169.4359107,-0.40945901274681096
169.575458359,-0.41077487468719487
169.719024637,-0.41161097884178166
169.844770258,-0.41200261116027836
170.026148375,-0.4119008660316468
170.145628912,-0.4113379001617432
170.263665467,-0.41030843853950505
170.373566558,-0.40885378718376164
170.546116794,-0.40693478584289555
170.681600898,-0.4045576333999634
170.826395924,-0.40173061490058903
170.985726045,-0.09718214273452763
171.11663791,-0.10030536651611333
171.229815271,-0.09724174737930302
171.36553884,-0.09901432991027836
171.522752571,-0.09482382535934453
171.630579311,-0.09534214735031132
171.752603139,-0.09046183824539189
